id_event,Real,Estimation
2015_09_16 23_16_09_M6_1,6.09999990463,6.77126
2014_03_19 16_35_31_M2_2,2.20000004768,2.33072
2014_04_07 09_54_26_M2_1,2.09999990463,2.10073
2014_04_16 03_14_11_M5_0,5.0,5.12281
2015_09_17 05_44_39_M5_5,5.5,6.02189
2019_06_03 08_42_17_M5_2,5.19999980927,5.15714
2014_06_04 17_27_40_M2_4,2.40000009537,2.41939
2014_04_02 15_37_03_M2_9,2.90000009537,4.03462
2015_09_17 04_02_10_M5_7,5.69999980927,5.81536
2015_09_17 01_41_05_M6_4,6.40000009537,6.38075
2015_08_22 08_24_39_M3_3,3.29999995232,3.33831
2015_09_20 23_00_11_M4_1,4.09999990463,3.93542
2014_03_23 18_20_01_M6_2,6.19999980927,6.12861
2018_08_01 06_19_05_M4_9,4.90000009537,4.87855
2014_03_26 11_29_41_M2_4,2.40000009537,2.6422
2014_06_24 11_23_31_M4_2,4.19999980927,4.04532
2014_05_05 02_52_03_M4_8,4.80000019073,4.83669
2015_09_16 22_54_32_M8_3,8.30000019073,7.24706
2015_09_17 03_10_42_M4_4,4.40000009537,5.32825
2020_10_11 07_06_13_M3_8,3.79999995232,3.3916
